Date : 2026-01-14 14:07:12
Directory : c:\Users\Lzx_8\Documents\github\e_monopoly\src
Total : 66 files,  5751 codes, 14 comments, 874 blanks, all 6639 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Lua      |         66 |      5,751 |         14 |        874 |      6,639 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\app\services\market_service.lua     | Lua      |        125 |          0 |         22 |        147 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\app\services\movement_service.lua   | Lua      |         66 |          0 |         14 |         80 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\app\services\overlay_service.lua    | Lua      |         73 |          0 |         11 |         84 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\app\services\status_service.lua     | Lua      |         62 |          0 |         19 |         81 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\app\services\tile_service.lua       | Lua      |        136 |          0 |         27 |        163 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\app\services\turn_manager.lua       | Lua      |        110 |          0 |         25 |        135 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\app\turn\end_turn.lua               | Lua      |         14 |          0 |          2 |         16 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\app\turn\land.lua                   | Lua      |         14 |          0 |          5 |         19 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\app\turn\move.lua                   | Lua      |         11 |          0 |          2 |         13 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\app\turn\post.lua                   | Lua      |         71 |          0 |         10 |         81 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\app\turn\roll.lua                   | Lua      |         22 |          0 |          4 |         26 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\app\turn\start.lua                  | Lua      |         54 |          0 |          5 |         59 |
| c:\Users\Lzx_8\Documents\github\e_monopoly\src\gameplay\app\usecases\action_usecase.lua     | Lua      |         35 |          0 |          6 |         41 |
